name,description,latitude,longitude,color
中華蕎麦とみ田,松戸駅の近くにあり朝早く並ばないと食べれないのと値段が高いです。残すことができないので頼む量に注意,35.7819996835237,139.900927457149,pink
兎に角,松戸駅近くにあり油そばが美味しいです。いついっても床がぬるぬるです。,35.7859100545194,139.901776802955,blue
ラーメン二郎松戸,二郎系ラーメン夕方は結構並びます。頼み方が独特なので調べてから行きましょう,35.7861874419660,139.901776802955,green
雷　本店,松戸6号沿いにあり駐車場もあります。二郎家ですが綺麗で行きやすいラーメン屋です,35.8019005651788,139.913633430935,yellow
王道家　柏,柏の6号沿いにある家系のラーメン屋です。駐車場もあり美味しいですが混んでいる時間が多いです。,35.8630237156468,139.967465270743,orange
勝浦タンタン麺　江ざわ,勝浦にあり釣りの時によく行きます。早めにいって名前を書いておくことでまつ時間が減ります。見た目よりかは辛くないです。,35.1974110149409,140.287673267344,red
梅野家,富津にある竹岡式ラーメンで釣りの時によく行く昔ながらの醤油ラーメンです。具材がなくなると店が早く閉まります。,35.2093863249770,139.846484140361,light blue
ラーメン　濱野屋,市原にあり家系のラーメン屋です。おいしですが味が濃いめで席数が少ないため回転率が悪いため混んでいます。,35.5175931574141,140.085180896195,purple
ラーメン大　我孫子,我孫子にある二郎系ですが少しさっぱりしています。駐車場もあり店員さんが優しいです。,35.8662149684262,140.013217253884,green
ラーメン　めん吉,南柏にあるラーメン屋で麺を無料で増やせるので嬉しいです。,35.8458962836244,139.958109097880,blue
ラーメンとんこつ　貴生,松戸にありホルモンラーメンがピリ辛で美味しいです。夜中の２時までやってるのがありがたいです。,35.7854140699733,139.921768233063,orange